Metadata file for MESMA based on RMSE and SVD. Run on Wed Mar 13 14:50:15 2024

Input image path:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\imagery\subset_images\rfl_2022_05_17.tif
     Scale factor:,   10000
     Number of lines:,         383
     Number of samples:,         298
     Number of bands:,         425
     Number of good bands:,         383

Spectral library path:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\Spectra\MESMA\subset_library\April\04_05\gns\subsets\less_than_0_5_percent\05_17_expanded.sli
Metadata EM class:,META2

     Endmember class:,BARE SOIL
     Selected models:,0,1,2,3,4,5,6,7,8,9,10,11,12,

     Endmember class:,GREEN VEG
     Selected models:,13,14,15,16,17,18,19,20,21,22,23,

     Endmember class:,NPV
     Selected models:,25,26,

     Endmember class:,WATER
     Selected models:,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,

Shade spectrum:,Photometric shade used

Constraints used:
     Minimum fraction (incl. shade):,        0.00
     Maximum fraction (excl. shade):,        1.00
     Minimum shade fraction:,        0.00
     Maximum shade fraction:,        0.80
     Maximum RMSE:,    0.025000
     Maximum residual:,    0.025000
     Residual count (number of bands):,       7

Output SMA image:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\imagery\subset_images\rfl_2022_05_17.tif_SMA_20240313T14H50M15S
Output data type:,BIL

LOOK-UP TABLE:,BARE SOIL-GREEN VEG
     Number of endmembers:,           3
     Total number of models:,         143
LOOK-UP TABLE:,BARE SOIL-NPV
     Number of endmembers:,           3
     Total number of models:,          26
LOOK-UP TABLE:,BARE SOIL-WATER
     Number of endmembers:,           3
     Total number of models:,         260
LOOK-UP TABLE:,GREEN VEG-NPV
     Number of endmembers:,           3
     Total number of models:,          22
LOOK-UP TABLE:,GREEN VEG-WATER
     Number of endmembers:,           3
     Total number of models:,         220
LOOK-UP TABLE:,NPV-WATER
     Number of endmembers:,           3
     Total number of models:,          40
LOOK-UP TABLE:,BARE SOIL-GREEN VEG-NPV
     Number of endmembers:,           4
     Total number of models:,         286
LOOK-UP TABLE:,BARE SOIL-GREEN VEG-WATER
     Number of endmembers:,           4
     Total number of models:,        2860
LOOK-UP TABLE:,BARE SOIL-NPV-WATER
     Number of endmembers:,           4
     Total number of models:,         520
LOOK-UP TABLE:,GREEN VEG-NPV-WATER
     Number of endmembers:,           4
     Total number of models:,         440
 
Unclassified pixels:,#pixels,% of image
,596,    0.522193

Number of successful models:,         454
List of successful models:,5,6,7,9,10,13,15,16,17,18,19,20,21,22,24,26,28,30,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,59,60,61,63,64,65,66,67,
,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,90,92,93,94,95,96,97,98,99,100,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,
,122,123,124,125,126,127,128,129,130,131,132,134,136,137,138,139,140,141,142,143,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,173,174,178,
,181,182,185,187,188,189,191,201,205,207,208,209,221,225,226,228,229,230,231,232,233,234,235,236,238,240,241,243,244,245,246,247,248,249,250,251,252,253,254,255,256,258,259,261,262,263,264,265,267,268,
,269,285,287,288,289,290,291,292,293,294,295,297,299,301,302,305,306,307,308,309,310,311,312,313,314,315,316,318,320,321,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,339,340,341,342,345,
,346,347,348,349,351,352,353,356,357,358,359,361,362,363,365,367,368,369,370,371,372,373,374,375,376,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,398,401,402,404,405,406,
,407,408,409,410,411,412,413,414,416,420,421,425,426,427,428,429,430,431,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,463,467,469,470,471,473,487,489,490,491,503,507,509,
,510,511,513,514,523,527,529,530,531,533,534,537,540,543,544,546,547,549,550,551,553,554,556,557,558,559,560,563,565,566,567,569,570,571,574,580,583,584,587,589,590,591,603,607,609,610,611,613,614,615,
,616,617,618,620,621,622,623,624,626,627,629,630,631,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,654,663,664,667,669,670,671,673,683,687,689,690,691,693,694,697,700,703,
,707,709,710,711,
Elapsed time:,      10.9013 minutes
