Metadata file for MESMA based on RMSE and SVD. Run on Wed Feb 21 14:15:02 2024

Input image path:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\imagery\subset_images\rfl_2022_04_20.tif
     Scale factor:,   10000
     Number of lines:,         383
     Number of samples:,         298
     Number of bands:,         425
     Number of good bands:,         383

Spectral library path:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\Spectra\MESMA\subset_library\April\04_05\gns\subsets\less_than_0_5_percent\04_05_expanded_2.sli
Metadata EM class:,META2

     Endmember class:,BARE SOIL
     Selected models:,1,2,3,4,5,6,7,8,

     Endmember class:,GREEN VEG
     Selected models:,9,10,11,12,13,14,15,16,17,18,

     Endmember class:,NPV
     Selected models:,19,20,

     Endmember class:,WATER
     Selected models:,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,

Shade spectrum:,Photometric shade used

Constraints used:
     Minimum fraction (incl. shade):,        0.00
     Maximum fraction (excl. shade):,        1.00
     Minimum shade fraction:,        0.00
     Maximum shade fraction:,        0.80
     Maximum RMSE:,n.a.
     Maximum residual:,    0.025000
     Residual count (number of bands):,       7

Output SMA image:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\imagery\subset_images\rfl_2022_04_20.tif_SMA_20240221T14H15M02S
Output data type:,BIL

LOOK-UP TABLE:,BARE SOIL-GREEN VEG
     Number of endmembers:,           3
     Total number of models:,          80
LOOK-UP TABLE:,BARE SOIL-NPV
     Number of endmembers:,           3
     Total number of models:,          16
LOOK-UP TABLE:,BARE SOIL-WATER
     Number of endmembers:,           3
     Total number of models:,         120
LOOK-UP TABLE:,GREEN VEG-NPV
     Number of endmembers:,           3
     Total number of models:,          20
LOOK-UP TABLE:,GREEN VEG-WATER
     Number of endmembers:,           3
     Total number of models:,         150
LOOK-UP TABLE:,NPV-WATER
     Number of endmembers:,           3
     Total number of models:,          30
LOOK-UP TABLE:,BARE SOIL-GREEN VEG-NPV
     Number of endmembers:,           4
     Total number of models:,         160
LOOK-UP TABLE:,BARE SOIL-GREEN VEG-WATER
     Number of endmembers:,           4
     Total number of models:,        1200
LOOK-UP TABLE:,BARE SOIL-NPV-WATER
     Number of endmembers:,           4
     Total number of models:,         240
LOOK-UP TABLE:,GREEN VEG-NPV-WATER
     Number of endmembers:,           4
     Total number of models:,         300
 
Unclassified pixels:,#pixels,% of image
,737,    0.645732

Number of successful models:,         380
List of successful models:,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,
,52,53,54,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,
,103,104,105,106,107,108,109,110,111,112,115,116,117,118,119,120,121,122,123,125,126,127,128,129,130,131,132,133,134,135,136,137,138,140,141,142,146,147,148,149,150,151,153,155,156,157,158,159,160,161,
,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,
,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,239,240,241,242,243,244,245,247,248,250,251,254,255,256,257,258,259,261,262,263,265,266,267,268,269,
,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,298,299,300,301,302,303,305,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,323,
,324,325,328,329,330,331,332,333,334,335,336,337,338,339,340,343,344,345,346,347,348,349,350,352,353,355,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,373,374,375,376,377,378,379,380,381,
,382,383,384,385,386,387,388,389,390,391,393,395,396,397,398,400,401,403,404,405,406,407,408,410,411,412,413,414,415,416,
Elapsed time:,      5.81405 minutes
